主体,详情链接
Standing_Guanyin_Bodhisattva,https://art.nelson-atkins.org/objects/11255/standing-guanyin-bodhisattva;jsessionid=84FB6C9C6B4078A7B1CC0DAFD209109D?ctx=955d8c3e-6b75-4460-93a1-42b48613cb93&idx=57
Dog,https://art.nelson-atkins.org/objects/12081/dog;jsessionid=84FB6C9C6B4078A7B1CC0DAFD209109D?ctx=955d8c3e-6b75-4460-93a1-42b48613cb93&idx=58
Waiting_for_the_Ferry_in_the_Chilly_Mountains,https://art.nelson-atkins.org/objects/13744/waiting-for-the-ferry-in-the-chilly-mountains;jsessionid=84FB6C9C6B4078A7B1CC0DAFD209109D?ctx=955d8c3e-6b75-4460-93a1-42b48613cb93&idx=59
Model_of_a_Multi-Storied_Tower,https://art.nelson-atkins.org/objects/10842/model-of-a-multistoried-tower;jsessionid=84FB6C9C6B4078A7B1CC0DAFD209109D?ctx=955d8c3e-6b75-4460-93a1-42b48613cb93&idx=60
Torso_of_a_Bodhisattva,https://art.nelson-atkins.org/objects/11535/torso-of-a-bodhisattva;jsessionid=84FB6C9C6B4078A7B1CC0DAFD209109D?ctx=955d8c3e-6b75-4460-93a1-42b48613cb93&idx=61
Ornament,https://art.nelson-atkins.org/objects/11601/ornament;jsessionid=84FB6C9C6B4078A7B1CC0DAFD209109D?ctx=955d8c3e-6b75-4460-93a1-42b48613cb93&idx=62
Spoon,https://art.nelson-atkins.org/objects/11670/spoon;jsessionid=84FB6C9C6B4078A7B1CC0DAFD209109D?ctx=955d8c3e-6b75-4460-93a1-42b48613cb93&idx=63
Surveillance_Commissioner_Zhang_Listens_to_Wind_and_Rain_in_the_Paulownia_Trees,https://art.nelson-atkins.org/objects/12670/surveillance-commissioner-zhang-listens-to-wind-and-rain-in;jsessionid=84FB6C9C6B4078A7B1CC0DAFD209109D?ctx=955d8c3e-6b75-4460-93a1-42b48613cb93&idx=64
Small_Vase,https://art.nelson-atkins.org/objects/12540/small-vase;jsessionid=84FB6C9C6B4078A7B1CC0DAFD209109D?ctx=955d8c3e-6b75-4460-93a1-42b48613cb93&idx=65
Palaces_in_Landscape,https://art.nelson-atkins.org/objects/14045/palaces-in-landscape;jsessionid=84FB6C9C6B4078A7B1CC0DAFD209109D?ctx=955d8c3e-6b75-4460-93a1-42b48613cb93&idx=66
Portal_Guardian,https://art.nelson-atkins.org/objects/14074/portal-guardian;jsessionid=84FB6C9C6B4078A7B1CC0DAFD209109D?ctx=955d8c3e-6b75-4460-93a1-42b48613cb93&idx=67
Figurine,https://art.nelson-atkins.org/objects/14418/figurine;jsessionid=84FB6C9C6B4078A7B1CC0DAFD209109D?ctx=955d8c3e-6b75-4460-93a1-42b48613cb93&idx=68
Palace_in_Mountainous_Landscape,https://art.nelson-atkins.org/objects/13847/palace-in-mountainous-landscape;jsessionid=84FB6C9C6B4078A7B1CC0DAFD209109D?ctx=955d8c3e-6b75-4460-93a1-42b48613cb93&idx=69
Standing_Figure_of_a_Monk,https://art.nelson-atkins.org/objects/10687/standing-figure-of-a-monk;jsessionid=84FB6C9C6B4078A7B1CC0DAFD209109D?ctx=955d8c3e-6b75-4460-93a1-42b48613cb93&idx=70
Tomb_Warrior,https://art.nelson-atkins.org/objects/4778/tomb-warrior;jsessionid=402C9DDA5809769A912115866201F905?ctx=64144c1f-47d5-4b34-b0e2-47dc302cc2d8&idx=72
Lady_with_Bamboo,https://art.nelson-atkins.org/objects/4788/lady-with-bamboo;jsessionid=402C9DDA5809769A912115866201F905?ctx=64144c1f-47d5-4b34-b0e2-47dc302cc2d8&idx=73
Cooking_Pot_with_Fish_in_Relief_on_Interior,https://art.nelson-atkins.org/objects/4803/cooking-pot-with-fish-in-relief-on-interior;jsessionid=402C9DDA5809769A912115866201F905?ctx=64144c1f-47d5-4b34-b0e2-47dc302cc2d8&idx=74
Garden_Scene_with_Ladies_and_Children,https://art.nelson-atkins.org/objects/4916/garden-scene-with-ladies-and-children;jsessionid=402C9DDA5809769A912115866201F905?ctx=64144c1f-47d5-4b34-b0e2-47dc302cc2d8&idx=75
Water_Coupe,https://art.nelson-atkins.org/objects/7218/water-coupe;jsessionid=402C9DDA5809769A912115866201F905?ctx=64144c1f-47d5-4b34-b0e2-47dc302cc2d8&idx=76
Wine_Vessel,https://art.nelson-atkins.org/objects/7329/wine-vessel;jsessionid=402C9DDA5809769A912115866201F905?ctx=64144c1f-47d5-4b34-b0e2-47dc302cc2d8&idx=77
Waterspout,https://art.nelson-atkins.org/objects/7719/waterspout;jsessionid=402C9DDA5809769A912115866201F905?ctx=64144c1f-47d5-4b34-b0e2-47dc302cc2d8&idx=78
Bin,https://art.nelson-atkins.org/objects/6539/bin;jsessionid=402C9DDA5809769A912115866201F905?ctx=64144c1f-47d5-4b34-b0e2-47dc302cc2d8&idx=79
Mill,https://art.nelson-atkins.org/objects/6680/mill;jsessionid=402C9DDA5809769A912115866201F905?ctx=64144c1f-47d5-4b34-b0e2-47dc302cc2d8&idx=80
Tabouret,https://art.nelson-atkins.org/objects/6990/tabouret;jsessionid=402C9DDA5809769A912115866201F905?ctx=64144c1f-47d5-4b34-b0e2-47dc302cc2d8&idx=81
Ring,https://art.nelson-atkins.org/objects/5826/ring;jsessionid=402C9DDA5809769A912115866201F905?ctx=64144c1f-47d5-4b34-b0e2-47dc302cc2d8&idx=82
Water_Pot,https://art.nelson-atkins.org/objects/3533/water-pot;jsessionid=402C9DDA5809769A912115866201F905?ctx=64144c1f-47d5-4b34-b0e2-47dc302cc2d8&idx=83
Mill,https://art.nelson-atkins.org/objects/3674/mill;jsessionid=402C9DDA5809769A912115866201F905?ctx=64144c1f-47d5-4b34-b0e2-47dc302cc2d8&idx=84
Torso_of_a_Standing_Bodhisattva,https://art.nelson-atkins.org/objects/995/torso-of-a-standing-bodhisattva;jsessionid=402C9DDA5809769A912115866201F905?ctx=64144c1f-47d5-4b34-b0e2-47dc302cc2d8&idx=85
Dish,https://art.nelson-atkins.org/objects/1408/dish;jsessionid=402C9DDA5809769A912115866201F905?ctx=64144c1f-47d5-4b34-b0e2-47dc302cc2d8&idx=86
Inscribed_Oracle_Bone,https://art.nelson-atkins.org/objects/1547/inscribed-oracle-bone;jsessionid=402C9DDA5809769A912115866201F905?ctx=64144c1f-47d5-4b34-b0e2-47dc302cc2d8&idx=87
Mountainous_Landscape,https://art.nelson-atkins.org/objects/1947/mountainous-landscape;jsessionid=402C9DDA5809769A912115866201F905?ctx=64144c1f-47d5-4b34-b0e2-47dc302cc2d8&idx=88
Storehouse,https://art.nelson-atkins.org/objects/3319/storehouse;jsessionid=402C9DDA5809769A912115866201F905?ctx=64144c1f-47d5-4b34-b0e2-47dc302cc2d8&idx=89
Lady_in_the_Library,https://art.nelson-atkins.org/objects/3832/lady-in-the-library;jsessionid=402C9DDA5809769A912115866201F905?ctx=64144c1f-47d5-4b34-b0e2-47dc302cc2d8&idx=90
Inscribed_Oracle_Bone,https://art.nelson-atkins.org/objects/2620/inscribed-oracle-bone;jsessionid=402C9DDA5809769A912115866201F905?ctx=64144c1f-47d5-4b34-b0e2-47dc302cc2d8&idx=91
Head_of_a_Bodhisattva,https://art.nelson-atkins.org/objects/1628/head-of-a-bodhisattva;jsessionid=402C9DDA5809769A912115866201F905?ctx=64144c1f-47d5-4b34-b0e2-47dc302cc2d8&idx=92
Guardian_Lion,https://art.nelson-atkins.org/objects/1652/guardian-lion;jsessionid=402C9DDA5809769A912115866201F905?ctx=64144c1f-47d5-4b34-b0e2-47dc302cc2d8&idx=93
Guanyin_of_the_Southern_Sea,https://art.nelson-atkins.org/objects/597/guanyin-of-the-southern-sea;jsessionid=402C9DDA5809769A912115866201F905?ctx=64144c1f-47d5-4b34-b0e2-47dc302cc2d8&idx=94
Scabbard_Finial,https://art.nelson-atkins.org/objects/686/scabbard-finial;jsessionid=402C9DDA5809769A912115866201F905?ctx=64144c1f-47d5-4b34-b0e2-47dc302cc2d8&idx=95
Ornament,https://art.nelson-atkins.org/objects/798/ornament;jsessionid=E81865BA3139041C76B22BC6CA027947?ctx=97fdcc5c-c55a-44c6-93c2-f3a1f0d4753d&idx=96
Kalavinka_Musician,https://art.nelson-atkins.org/objects/824/kalavinka-musician;jsessionid=E81865BA3139041C76B22BC6CA027947?ctx=97fdcc5c-c55a-44c6-93c2-f3a1f0d4753d&idx=97
Grain_Yard,https://art.nelson-atkins.org/objects/1802/grain-yard;jsessionid=E81865BA3139041C76B22BC6CA027947?ctx=97fdcc5c-c55a-44c6-93c2-f3a1f0d4753d&idx=98
Door_Panels_from_a_Temple,https://art.nelson-atkins.org/objects/17364/door-panels-from-a-temple;jsessionid=E81865BA3139041C76B22BC6CA027947?ctx=97fdcc5c-c55a-44c6-93c2-f3a1f0d4753d&idx=99
